"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client3",,,,"User:","vagrant"
"Cmdline:","dstat -tcmnps --output /home/Client/notImproved/client3Stat.csv",,,,"Date:","28 Dec 2020 13:11:12 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"net/total",,"procs",,,"swap",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","run","blk","new","used","free"
28-12 13:11:12,0.951,0.662,98.189,0.096,0.003,0.099,153862144.0,26316800.0,602132480.0,259653632.0,0.0,0.0,0.0,0.0,3.145,0.0,0.0
28-12 13:11:13,57.754,5.348,36.364,0.0,0.0,0.535,189169664.0,26329088.0,602267648.0,224198656.0,20184.0,12170.0,1.0,0.0,11.0,0.0,0.0
28-12 13:11:14,88.268,7.263,4.469,0.0,0.0,0.0,225951744.0,26329088.0,602267648.0,187416576.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
28-12 13:11:15,31.579,4.737,63.158,0.0,0.0,0.526,173527040.0,26329088.0,602267648.0,239841280.0,2774.0,4670.0,0.0,0.0,12.0,0.0,0.0
28-12 13:11:16,0.976,0.488,98.049,0.0,0.0,0.488,180224000.0,26329088.0,602267648.0,233144320.0,66.0,97.0,2.0,0.0,2.0,0.0,0.0
28-12 13:11:17,0.0,0.565,99.435,0.0,0.0,0.0,180224000.0,26329088.0,602267648.0,233144320.0,594.0,974.0,0.0,0.0,0.0,0.0,0.0
28-12 13:11:18,1.064,0.0,98.936,0.0,0.0,0.0,180215808.0,26337280.0,602267648.0,233144320.0,1143.0,1540.0,0.0,0.0,0.0,0.0,0.0
28-12 13:11:19,0.529,0.0,99.471,0.0,0.0,0.0,180248576.0,26337280.0,602267648.0,233111552.0,650.0,843.0,0.0,0.0,0.0,0.0,0.0
28-12 13:11:20,7.772,4.145,87.047,0.0,0.0,1.036,181129216.0,26337280.0,602267648.0,232230912.0,84580.0,102646.0,0.0,0.0,0.0,0.0,0.0
28-12 13:11:21,0.0,0.0,100.0,0.0,0.0,0.0,181055488.0,26337280.0,602267648.0,232304640.0,330.0,497.0,0.0,0.0,0.0,0.0,0.0
28-12 13:11:22,1.031,0.0,98.454,0.0,0.0,0.515,181055488.0,26337280.0,602267648.0,232304640.0,518.0,953.0,0.0,0.0,0.0,0.0,0.0
28-12 13:11:23,0.535,0.0,99.465,0.0,0.0,0.0,181055488.0,26341376.0,602263552.0,232304640.0,712.0,1155.0,0.0,0.0,0.0,0.0,0.0
28-12 13:11:24,2.591,1.036,96.373,0.0,0.0,0.0,181051392.0,26341376.0,602267648.0,232304640.0,6734.0,8906.0,0.0,0.0,0.0,0.0,0.0
28-12 13:11:25,0.0,0.0,100.0,0.0,0.0,0.0,181084160.0,26341376.0,602267648.0,232271872.0,264.0,579.0,0.0,0.0,0.0,0.0,0.0
28-12 13:11:26,0.0,0.0,100.0,0.0,0.0,0.0,181084160.0,26341376.0,602267648.0,232271872.0,680.0,1047.0,0.0,0.0,0.0,0.0,0.0
28-12 13:11:27,1.117,0.559,98.324,0.0,0.0,0.0,181084160.0,26341376.0,602267648.0,232271872.0,584.0,979.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:28,0.0,0.0,99.476,0.0,0.0,0.524,181075968.0,26349568.0,602259456.0,232280064.0,482.0,620.0,0.0,0.0,0.0,0.0,0.0
28-12 13:11:29,1.047,0.0,98.953,0.0,0.0,0.0,181067776.0,26349568.0,602267648.0,232280064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 13:11:30,0.0,0.505,99.495,0.0,0.0,0.0,181067776.0,26349568.0,602267648.0,232280064.0,460.0,450.0,0.0,0.0,0.0,0.0,0.0
28-12 13:11:31,0.0,0.0,99.476,0.0,0.0,0.524,181067776.0,26349568.0,602267648.0,232280064.0,127.0,222.0,0.0,0.0,0.0,0.0,0.0
28-12 13:11:32,0.0,0.0,100.0,0.0,0.0,0.0,181067776.0,26349568.0,602267648.0,232280064.0,1034.0,1178.0,0.0,0.0,0.0,0.0,0.0
28-12 13:11:33,0.0,0.0,100.0,0.0,0.0,0.0,181067776.0,26349568.0,602267648.0,232280064.0,381.0,468.0,0.0,0.0,0.0,0.0,0.0
28-12 13:11:34,0.0,0.0,100.0,0.0,0.0,0.0,181067776.0,26353664.0,602263552.0,232280064.0,615.0,798.0,0.0,0.0,0.0,0.0,0.0
28-12 13:11:35,1.010,0.0,98.990,0.0,0.0,0.0,181317632.0,26353664.0,602267648.0,232026112.0,1736.0,2194.0,0.0,0.0,0.0,0.0,0.0
28-12 13:11:36,3.627,1.036,95.337,0.0,0.0,0.0,182239232.0,26353664.0,602267648.0,231104512.0,20210.0,24448.0,0.0,0.0,0.0,0.0,0.0
28-12 13:11:37,0.0,0.524,99.476,0.0,0.0,0.0,182239232.0,26353664.0,602267648.0,231104512.0,344.0,372.0,0.0,0.0,0.0,0.0,0.0
28-12 13:11:38,0.0,0.0,100.0,0.0,0.0,0.0,182239232.0,26353664.0,602267648.0,231104512.0,254.0,312.0,0.0,0.0,0.0,0.0,0.0
28-12 13:11:39,0.0,0.0,100.0,0.0,0.0,0.0,182235136.0,26357760.0,602267648.0,231104512.0,515.0,636.0,0.0,0.0,0.0,0.0,0.0
28-12 13:11:40,1.010,0.505,98.485,0.0,0.0,0.0,181399552.0,26357760.0,602267648.0,231940096.0,29191.0,32760.0,0.0,0.0,0.0,0.0,0.0
28-12 13:11:41,0.503,0.0,99.497,0.0,0.0,0.0,181379072.0,26357760.0,602267648.0,231960576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 13:11:42,5.528,3.015,90.452,0.0,0.0,1.005,181850112.0,26357760.0,602267648.0,231489536.0,85046.0,100940.0,1.0,0.0,0.0,0.0,0.0
