"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client2",,,,"User:","vagrant"
"Cmdline:","dstat -tpcdrmgln --time --cpu --mem --load --output /home/Client/client2CPUUsage.csv",,,,"Date:","28 Dec 2020 00:02:40 UTC"

"system","procs",,,"total cpu usage",,,,,,"dsk/total",,"io/total",,"memory usage",,,,"paging",,"load avg",,,"net/total",,"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,
"time","run","blk","new","usr","sys","idl","wai","hiq","siq","read","writ","read","writ","used","buff","cach","free","in","out","1m","5m","15m","recv","send","time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","1m","5m","15m"
28-12 00:02:40,0.003,0.0,28.613,6.320,3.910,87.835,1.394,0.037,0.503,841552.632,1812558.168,37.322,25.682,158470144.0,26185728.0,601726976.0,255582208.0,0.0,0.0,0.030,0.210,0.130,0.0,0.0,28-12 00:02:40,6.320,3.912,87.834,1.394,0.037,0.503,158470144.0,26185728.0,601726976.0,255582208.0,0.030,0.210,0.130
28-12 00:02:41,1.0,0.0,11.0,34.694,5.102,52.551,7.143,0.0,0.510,131072.0,0.0,3.0,0.0,185405440.0,26193920.0,601997312.0,228368384.0,0.0,0.0,0.030,0.210,0.130,20490.0,13840.0,28-12 00:02:41,34.872,4.615,52.821,7.179,0.0,0.513,185405440.0,26193920.0,601997312.0,228368384.0,0.030,0.210,0.130
28-12 00:02:42,3.0,0.0,0.0,73.797,8.556,17.112,0.0,0.0,0.535,0.0,0.0,0.0,0.0,212983808.0,26193920.0,601997312.0,200790016.0,0.0,0.0,0.030,0.210,0.130,0.0,0.0,28-12 00:02:42,73.797,8.556,17.112,0.0,0.0,0.535,212983808.0,26193920.0,601997312.0,200790016.0,0.030,0.210,0.130
28-12 00:02:43,1.0,0.0,11.0,62.637,10.989,20.879,5.495,0.0,0.0,0.0,32768.0,0.0,1.0,175173632.0,26193920.0,602005504.0,238592000.0,0.0,0.0,0.030,0.210,0.130,2100.0,3418.0,28-12 00:02:43,62.637,10.989,20.879,5.495,0.0,0.0,175173632.0,26193920.0,602005504.0,238592000.0,0.030,0.210,0.130
28-12 00:02:44,0.0,0.0,1.0,12.245,2.041,85.204,0.0,0.0,0.510,0.0,0.0,0.0,0.0,178724864.0,26193920.0,602013696.0,235032576.0,0.0,0.0,0.020,0.210,0.130,134.0,200.0,28-12 00:02:44,12.245,2.041,85.204,0.0,0.0,0.510,178724864.0,26193920.0,602013696.0,235032576.0,0.020,0.210,0.130
28-12 00:02:45,2.0,0.0,2.0,0.526,0.526,98.421,0.0,0.0,0.526,0.0,0.0,0.0,0.0,185286656.0,26193920.0,602013696.0,228470784.0,0.0,0.0,0.020,0.210,0.130,462.0,772.0,28-12 00:02:45,0.524,1.047,97.906,0.0,0.0,0.524,185286656.0,26193920.0,602013696.0,228470784.0,0.020,0.210,0.130
28-12 00:02:46,0.0,0.0,0.0,0.617,0.617,98.765,0.0,0.0,0.0,0.0,159744.0,0.0,2.0,185278464.0,26193920.0,602013696.0,228478976.0,0.0,0.0,0.020,0.210,0.130,594.0,778.0,28-12 00:02:46,0.617,0.617,98.765,0.0,0.0,0.0,185278464.0,26193920.0,602013696.0,228478976.0,0.020,0.210,0.130
28-12 00:02:47,0.0,0.0,0.0,0.0,0.565,99.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185278464.0,26193920.0,602013696.0,228478976.0,0.0,0.0,0.020,0.210,0.130,716.0,961.0,28-12 00:02:47,0.0,0.0,100.0,0.0,0.0,0.0,185278464.0,26193920.0,602013696.0,228478976.0,0.020,0.210,0.130
28-12 00:02:48,0.0,0.0,0.0,1.015,0.508,97.970,0.0,0.0,0.508,0.0,0.0,0.0,0.0,185311232.0,26193920.0,602013696.0,228446208.0,0.0,0.0,0.020,0.210,0.130,1112.0,1466.0,28-12 00:02:48,1.010,0.505,97.980,0.0,0.0,0.505,185311232.0,26193920.0,602013696.0,228446208.0,0.020,0.210,0.130
