"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client2",,,,"User:","vagrant"
"Cmdline:","dstat -tcmsn -N eth1 --output /home/Client/client2NetworkUsage.csv",,,,"Date:","28 Dec 2020 00:02:40 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"swap",,"net/eth1",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","used","free","recv","send"
28-12 00:02:40,6.322,3.911,87.832,1.394,0.037,0.503,158470144.0,26185728.0,601726976.0,255582208.0,0.0,0.0,0.0,0.0
28-12 00:02:41,34.694,4.592,53.061,7.143,0.0,0.510,185405440.0,26193920.0,601997312.0,228368384.0,0.0,0.0,0.0,0.0
28-12 00:02:42,74.468,8.511,16.489,0.0,0.0,0.532,212983808.0,26193920.0,601997312.0,200790016.0,0.0,0.0,0.0,0.0
28-12 00:02:43,62.431,11.050,20.994,5.525,0.0,0.0,175173632.0,26193920.0,602005504.0,238592000.0,0.0,0.0,0.0,0.0
28-12 00:02:44,11.224,2.041,86.224,0.0,0.0,0.510,178724864.0,26193920.0,602013696.0,235032576.0,0.0,0.0,134.0,200.0
28-12 00:02:45,0.532,0.532,98.404,0.0,0.0,0.532,185286656.0,26193920.0,602013696.0,228470784.0,0.0,0.0,462.0,772.0
28-12 00:02:46,0.617,0.617,98.765,0.0,0.0,0.0,185278464.0,26193920.0,602013696.0,228478976.0,0.0,0.0,594.0,778.0
28-12 00:02:47,0.0,0.559,99.441,0.0,0.0,0.0,185278464.0,26193920.0,602013696.0,228478976.0,0.0,0.0,656.0,863.0
28-12 00:02:48,1.010,0.505,97.980,0.0,0.0,0.505,185311232.0,26193920.0,602013696.0,228446208.0,0.0,0.0,932.0,1052.0
28-12 00:02:49,0.505,0.0,99.495,0.0,0.0,0.0,185311232.0,26193920.0,602013696.0,228446208.0,0.0,0.0,803.0,1070.0
28-12 00:02:50,0.515,0.0,98.969,0.0,0.0,0.515,185311232.0,26193920.0,602013696.0,228446208.0,0.0,0.0,728.0,1010.0
28-12 00:02:51,0.0,0.0,100.0,0.0,0.0,0.0,185311232.0,26198016.0,602009600.0,228446208.0,0.0,0.0,660.0,969.0
28-12 00:02:52,0.518,0.518,98.964,0.0,0.0,0.0,185303040.0,26198016.0,602017792.0,228446208.0,0.0,0.0,662.0,1073.0
28-12 00:02:53,0.526,0.0,99.474,0.0,0.0,0.0,185303040.0,26198016.0,602017792.0,228446208.0,0.0,0.0,794.0,917.0
28-12 00:02:54,0.0,0.505,98.990,0.0,0.0,0.505,185303040.0,26198016.0,602017792.0,228446208.0,0.0,0.0,728.0,997.0
28-12 00:02:55,0.513,0.513,98.462,0.0,0.0,0.513,185303040.0,26198016.0,602017792.0,228446208.0,0.0,0.0,528.0,770.0
28-12 00:02:56,0.521,0.521,98.958,0.0,0.0,0.0,185294848.0,26202112.0,602013696.0,228454400.0,0.0,0.0,134.0,132.0
28-12 00:02:57,0.0,0.0,100.0,0.0,0.0,0.0,185294848.0,26202112.0,602013696.0,228454400.0,0.0,0.0,134.0,132.0
28-12 00:02:58,0.0,0.541,99.459,0.0,0.0,0.0,185290752.0,26202112.0,602017792.0,228454400.0,0.0,0.0,134.0,132.0
28-12 00:02:59,0.0,0.503,99.497,0.0,0.0,0.0,185274368.0,26202112.0,602017792.0,228470784.0,0.0,0.0,134.0,132.0
28-12 00:03:00,0.0,0.541,99.459,0.0,0.0,0.0,185274368.0,26202112.0,602017792.0,228470784.0,0.0,0.0,705.0,132.0
