"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client3",,,,"User:","vagrant"
"Cmdline:","dstat -tcmsn -N eth1 --output /home/Client/client3NetworkUsage.csv",,,,"Date:","28 Dec 2020 00:02:44 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"swap",,"net/eth1",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","used","free","recv","send"
28-12 00:02:44,13.195,7.802,76.062,1.937,0.049,0.955,158097408.0,26255360.0,601640960.0,255971328.0,0.0,0.0,0.0,0.0
28-12 00:02:45,39.130,3.804,55.978,0.0,0.0,1.087,182530048.0,26263552.0,601882624.0,231288832.0,0.0,0.0,0.0,0.0
28-12 00:02:46,65.537,7.345,27.119,0.0,0.0,0.0,204124160.0,26263552.0,601882624.0,209694720.0,0.0,0.0,0.0,0.0
28-12 00:02:47,82.249,12.426,5.325,0.0,0.0,0.0,224264192.0,26263552.0,601882624.0,189554688.0,0.0,0.0,0.0,0.0
28-12 00:02:48,38.503,3.209,57.754,0.0,0.0,0.535,177664000.0,26263552.0,601899008.0,236138496.0,0.0,0.0,134.0,200.0
28-12 00:02:49,0.513,0.513,98.974,0.0,0.0,0.0,184229888.0,26267648.0,601899008.0,229568512.0,0.0,0.0,264.0,390.0
28-12 00:02:50,0.0,0.535,99.465,0.0,0.0,0.0,184229888.0,26267648.0,601899008.0,229568512.0,0.0,0.0,794.0,1109.0
28-12 00:02:51,0.0,0.541,99.459,0.0,0.0,0.0,184229888.0,26267648.0,601899008.0,229568512.0,0.0,0.0,734.0,790.0
28-12 00:02:52,0.535,0.0,99.465,0.0,0.0,0.0,184229888.0,26267648.0,601899008.0,229568512.0,0.0,0.0,660.0,895.0
28-12 00:02:53,0.535,0.535,98.930,0.0,0.0,0.0,184229888.0,26267648.0,601899008.0,229568512.0,0.0,0.0,660.0,940.0
28-12 00:02:54,0.0,0.0,100.0,0.0,0.0,0.0,184229888.0,26271744.0,601894912.0,229568512.0,0.0,0.0,1058.0,1088.0
28-12 00:02:55,0.500,0.500,99.0,0.0,0.0,0.0,184229888.0,26271744.0,601894912.0,229568512.0,0.0,0.0,594.0,1054.0
28-12 00:02:56,0.538,0.0,99.462,0.0,0.0,0.0,184221696.0,26271744.0,601903104.0,229568512.0,0.0,0.0,530.0,642.0
28-12 00:02:57,0.510,0.0,99.490,0.0,0.0,0.0,184221696.0,26271744.0,601903104.0,229568512.0,0.0,0.0,728.0,919.0
28-12 00:02:58,0.510,0.510,98.980,0.0,0.0,0.0,184221696.0,26271744.0,601903104.0,229568512.0,0.0,0.0,728.0,1003.0
28-12 00:02:59,2.326,2.907,94.186,0.0,0.0,0.581,184221696.0,26275840.0,601899008.0,229568512.0,0.0,0.0,33951.0,1279.0
28-12 00:03:00,0.0,0.0,100.0,0.0,0.0,0.0,184414208.0,26275840.0,601899008.0,229376000.0,0.0,0.0,530.0,624.0
28-12 00:03:01,0.538,0.538,98.925,0.0,0.0,0.0,184434688.0,26275840.0,601903104.0,229351424.0,0.0,0.0,134.0,132.0
28-12 00:03:02,0.0,0.0,100.0,0.0,0.0,0.0,184434688.0,26275840.0,601903104.0,229351424.0,0.0,0.0,134.0,132.0
28-12 00:03:03,0.510,0.0,99.490,0.0,0.0,0.0,184434688.0,26275840.0,601903104.0,229351424.0,0.0,0.0,1264.0,264.0
28-12 00:03:04,0.0,0.0,100.0,0.0,0.0,0.0,184434688.0,26275840.0,601903104.0,229351424.0,0.0,0.0,284.0,132.0
28-12 00:03:05,0.500,0.500,99.0,0.0,0.0,0.0,184430592.0,26279936.0,601903104.0,229351424.0,0.0,0.0,762.0,132.0
28-12 00:03:06,0.0,0.0,99.487,0.0,0.0,0.513,184430592.0,26279936.0,601903104.0,229351424.0,0.0,0.0,500.0,132.0
28-12 00:03:07,0.503,0.503,98.995,0.0,0.0,0.0,184430592.0,26279936.0,601903104.0,229351424.0,0.0,0.0,341.0,264.0
28-12 00:03:08,0.0,0.0,100.0,0.0,0.0,0.0,184430592.0,26279936.0,601903104.0,229351424.0,0.0,0.0,0.0,0.0
28-12 00:03:09,0.0,0.513,99.487,0.0,0.0,0.0,184426496.0,26279936.0,601907200.0,229351424.0,0.0,0.0,564.0,264.0
28-12 00:03:10,0.505,0.0,99.495,0.0,0.0,0.0,184426496.0,26284032.0,601903104.0,229351424.0,0.0,0.0,0.0,0.0
28-12 00:03:11,1.571,1.047,97.382,0.0,0.0,0.0,184569856.0,26284032.0,601907200.0,229203968.0,0.0,0.0,8139.0,264.0
28-12 00:03:12,1.042,0.521,98.438,0.0,0.0,0.0,184569856.0,26284032.0,601907200.0,229203968.0,0.0,0.0,0.0,0.0
28-12 00:03:13,0.0,0.0,100.0,0.0,0.0,0.0,184549376.0,26284032.0,601907200.0,229224448.0,0.0,0.0,134.0,132.0
28-12 00:03:14,0.526,0.0,99.474,0.0,0.0,0.0,184582144.0,26284032.0,601907200.0,229191680.0,0.0,0.0,0.0,0.0
28-12 00:03:15,5.263,1.579,92.105,0.0,0.0,1.053,185376768.0,26288128.0,601903104.0,228397056.0,0.0,0.0,9322.0,264.0
28-12 00:03:16,0.0,0.521,99.479,0.0,0.0,0.0,185372672.0,26288128.0,601907200.0,228397056.0,0.0,0.0,134.0,132.0
28-12 00:03:17,0.505,0.0,99.495,0.0,0.0,0.0,185372672.0,26288128.0,601907200.0,228397056.0,0.0,0.0,134.0,132.0
28-12 00:03:18,0.515,0.0,99.485,0.0,0.0,0.0,185372672.0,26288128.0,601907200.0,228397056.0,0.0,0.0,1715.0,132.0
28-12 00:03:19,1.212,1.212,97.576,0.0,0.0,0.0,185372672.0,26288128.0,601907200.0,228397056.0,0.0,0.0,0.0,0.0
28-12 00:03:20,1.622,0.541,97.838,0.0,0.0,0.0,185626624.0,26288128.0,601907200.0,228143104.0,0.0,0.0,3278.0,132.0
28-12 00:03:21,0.0,0.521,99.479,0.0,0.0,0.0,185618432.0,26296320.0,601907200.0,228143104.0,0.0,0.0,0.0,0.0
28-12 00:03:22,0.625,0.625,98.750,0.0,0.0,0.0,185618432.0,26296320.0,601907200.0,228143104.0,0.0,0.0,134.0,132.0
