"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","vagrant"
"Cmdline:","dstat -tpcdrmgln --time --cpu --mem --load --output /home/Client/client1CPUUsage.csv",,,,"Date:","28 Dec 2020 00:02:36 UTC"

"system","procs",,,"total cpu usage",,,,,,"dsk/total",,"io/total",,"memory usage",,,,"paging",,"load avg",,,"net/total",,"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,
"time","run","blk","new","usr","sys","idl","wai","hiq","siq","read","writ","read","writ","used","buff","cach","free","in","out","1m","5m","15m","recv","send","time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","1m","5m","15m"
28-12 00:02:36,0.0,0.002,19.821,4.588,2.692,91.790,0.566,0.022,0.343,663454.716,1382411.659,26.224,18.003,158085120.0,26107904.0,601825280.0,255946752.0,0.0,0.0,0.0,0.070,0.050,0.0,0.0,28-12 00:02:36,4.588,2.693,91.789,0.566,0.022,0.343,158085120.0,26107904.0,601825280.0,255946752.0,0.0,0.070,0.050
28-12 00:02:37,3.0,0.0,10.0,54.315,4.061,39.086,2.538,0.0,0.0,114688.0,0.0,2.0,0.0,195383296.0,26112000.0,601911296.0,218558464.0,0.0,0.0,0.0,0.070,0.050,1080.0,1816.0,28-12 00:02:37,55.102,3.571,38.776,2.551,0.0,0.0,195383296.0,26112000.0,601911296.0,218558464.0,0.0,0.070,0.050
28-12 00:02:38,3.0,0.0,0.0,84.974,8.808,6.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219402240.0,26112000.0,601911296.0,194539520.0,0.0,0.0,0.080,0.080,0.050,0.0,0.0,28-12 00:02:38,84.896,8.854,6.250,0.0,0.0,0.0,219402240.0,26112000.0,601911296.0,194539520.0,0.080,0.080,0.050
28-12 00:02:39,0.0,0.0,11.0,45.550,6.806,47.120,0.0,0.0,0.524,0.0,32768.0,0.0,1.0,177258496.0,26116096.0,601927680.0,236662784.0,0.0,0.0,0.080,0.080,0.050,4274.0,6498.0,28-12 00:02:39,45.596,6.736,47.150,0.0,0.0,0.518,177258496.0,26116096.0,601927680.0,236662784.0,0.080,0.080,0.050
28-12 00:02:40,0.0,0.0,1.0,0.505,0.505,98.990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177426432.0,26116096.0,601927680.0,236494848.0,0.0,0.0,0.080,0.080,0.050,0.0,0.0,28-12 00:02:40,0.505,0.505,98.990,0.0,0.0,0.0,177426432.0,26116096.0,601927680.0,236494848.0,0.080,0.080,0.050
28-12 00:02:41,1.0,0.0,2.0,1.036,0.0,91.192,7.254,0.0,0.518,0.0,241664.0,0.0,11.0,183980032.0,26124288.0,601927680.0,229933056.0,0.0,0.0,0.080,0.080,0.050,594.0,865.0,28-12 00:02:41,0.524,0.0,91.623,7.330,0.0,0.524,183980032.0,26124288.0,601927680.0,229933056.0,0.080,0.080,0.050
28-12 00:02:42,0.0,0.0,0.0,0.535,0.535,98.930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183980032.0,26124288.0,601927680.0,229933056.0,0.0,0.0,0.080,0.080,0.050,528.0,899.0,28-12 00:02:42,0.535,0.535,98.930,0.0,0.0,0.0,183980032.0,26124288.0,601927680.0,229933056.0,0.080,0.080,0.050
28-12 00:02:43,0.0,0.0,0.0,0.0,1.613,98.387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183980032.0,26124288.0,601927680.0,229933056.0,0.0,0.0,0.160,0.100,0.060,1054.0,1402.0,28-12 00:02:43,0.535,1.604,97.861,0.0,0.0,0.0,183980032.0,26124288.0,601927680.0,229933056.0,0.160,0.100,0.060
28-12 00:02:44,0.0,0.0,0.0,0.549,1.099,98.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183980032.0,26124288.0,601927680.0,229933056.0,0.0,0.0,0.160,0.100,0.060,1478.0,1837.0,28-12 00:02:44,0.0,1.105,98.895,0.0,0.0,0.0,183980032.0,26124288.0,601927680.0,229933056.0,0.160,0.100,0.060
28-12 00:02:45,0.0,0.0,0.0,1.036,0.0,98.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183980032.0,26124288.0,601927680.0,229933056.0,0.0,0.0,0.160,0.100,0.060,594.0,908.0,28-12 00:02:45,1.026,0.513,98.462,0.0,0.0,0.0,183980032.0,26124288.0,601927680.0,229933056.0,0.160,0.100,0.060
28-12 00:02:46,1.0,0.0,0.0,0.0,0.526,98.421,0.0,0.0,1.053,0.0,16384.0,0.0,2.0,183975936.0,26128384.0,601927680.0,229933056.0,0.0,0.0,0.160,0.100,0.060,528.0,825.0,28-12 00:02:46,0.0,0.526,98.421,0.0,0.0,1.053,183975936.0,26128384.0,601927680.0,229933056.0,0.160,0.100,0.060
28-12 00:02:47,0.0,0.0,0.0,0.0,0.559,98.883,0.0,0.0,0.559,0.0,0.0,0.0,0.0,183975936.0,26128384.0,601927680.0,229933056.0,0.0,0.0,0.160,0.100,0.060,716.0,980.0,28-12 00:02:47,0.0,0.562,98.876,0.0,0.0,0.562,183975936.0,26128384.0,601927680.0,229933056.0,0.160,0.100,0.060
28-12 00:02:48,0.0,0.0,0.0,0.513,0.513,98.462,0.0,0.0,0.513,0.0,0.0,0.0,0.0,183971840.0,26128384.0,601931776.0,229933056.0,0.0,0.0,0.140,0.100,0.060,898.0,1170.0,28-12 00:02:48,0.515,0.0,98.969,0.0,0.0,0.515,183971840.0,26128384.0,601931776.0,229933056.0,0.140,0.100,0.060
28-12 00:02:49,0.0,0.0,0.0,1.508,2.513,94.975,0.0,0.0,1.005,0.0,0.0,0.0,0.0,184004608.0,26128384.0,601931776.0,229900288.0,0.0,0.0,0.140,0.100,0.060,41949.0,48155.0,28-12 00:02:49,1.508,2.513,94.975,0.0,0.0,1.005,184004608.0,26128384.0,601931776.0,229900288.0,0.140,0.100,0.060
28-12 00:02:50,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184037376.0,26128384.0,601931776.0,229867520.0,0.0,0.0,0.140,0.100,0.060,914.0,1123.0,28-12 00:02:50,0.0,0.510,99.490,0.0,0.0,0.0,184037376.0,26128384.0,601931776.0,229867520.0,0.140,0.100,0.060
28-12 00:02:51,0.0,0.0,0.0,0.500,0.500,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184070144.0,26128384.0,601931776.0,229834752.0,0.0,0.0,0.140,0.100,0.060,660.0,948.0,28-12 00:02:51,0.503,0.0,99.497,0.0,0.0,0.0,184070144.0,26128384.0,601931776.0,229834752.0,0.140,0.100,0.060
28-12 00:02:52,0.0,0.0,0.0,0.0,2.062,97.938,0.0,0.0,0.0,0.0,12288.0,0.0,2.0,184061952.0,26136576.0,601931776.0,229834752.0,0.0,0.0,0.140,0.100,0.060,452.0,603.0,28-12 00:02:52,0.0,2.551,97.449,0.0,0.0,0.0,184061952.0,26136576.0,601931776.0,229834752.0,0.140,0.100,0.060
