"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","vagrant"
"Cmdline:","dstat -tcmnps --output /home/Client/client1Stat.csv",,,,"Date:","28 Dec 2020 12:39:23 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"net/total",,"procs",,,"swap",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","run","blk","new","used","free"
28-12 12:39:23,2.020,1.207,96.564,0.056,0.007,0.146,153522176.0,26226688.0,601645056.0,260571136.0,0.0,0.0,0.0,0.0,7.319,0.0,0.0
28-12 12:39:24,11.282,32.308,54.359,0.513,0.0,1.538,185884672.0,26234880.0,601899008.0,227946496.0,20262.0,12446.0,2.0,0.0,11.0,0.0,0.0
28-12 12:39:25,46.701,39.594,13.706,0.0,0.0,0.0,161517568.0,26234880.0,601899008.0,252313600.0,4140.0,6298.0,1.0,0.0,3.0,0.0,0.0
28-12 12:39:26,7.071,14.646,78.283,0.0,0.0,0.0,172638208.0,26234880.0,601899008.0,241192960.0,134.0,200.0,0.0,0.0,9.0,0.0,0.0
28-12 12:39:27,2.062,2.062,95.876,0.0,0.0,0.0,179716096.0,26234880.0,601915392.0,234098688.0,264.0,350.0,1.0,0.0,2.0,0.0,0.0
28-12 12:39:28,0.0,0.500,99.500,0.0,0.0,0.0,179712000.0,26243072.0,601911296.0,234098688.0,963.0,1133.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:29,0.503,1.508,96.482,0.0,0.0,1.508,179838976.0,26243072.0,601915392.0,233967616.0,64054.0,76588.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:30,0.535,0.535,98.930,0.0,0.0,0.0,179838976.0,26243072.0,601915392.0,233967616.0,3712.0,3963.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:31,0.0,0.515,99.485,0.0,0.0,0.0,179838976.0,26243072.0,601915392.0,233967616.0,1187.0,1289.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:32,0.0,0.524,99.476,0.0,0.0,0.0,179838976.0,26243072.0,601915392.0,233967616.0,812.0,949.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:33,1.064,1.064,97.340,0.0,0.0,0.532,180506624.0,26247168.0,601911296.0,233299968.0,6847.0,7217.0,2.0,1.0,0.0,0.0,0.0
28-12 12:39:34,0.0,1.015,98.985,0.0,0.0,0.0,180502528.0,26247168.0,601915392.0,233299968.0,1101.0,1177.0,1.0,0.0,0.0,0.0,0.0
28-12 12:39:35,0.0,0.524,99.476,0.0,0.0,0.0,180502528.0,26247168.0,601915392.0,233299968.0,1433.0,1909.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:36,1.058,1.058,97.884,0.0,0.0,0.0,180789248.0,26247168.0,601915392.0,233013248.0,20744.0,23619.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:37,0.0,0.505,98.990,0.0,0.0,0.505,180789248.0,26247168.0,601915392.0,233013248.0,1967.0,2261.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:38,0.0,0.508,99.492,0.0,0.0,0.0,180822016.0,26247168.0,601915392.0,232980480.0,23202.0,26317.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:39,0.0,0.0,100.0,0.0,0.0,0.0,180822016.0,26251264.0,601911296.0,232980480.0,463.0,570.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:40,0.0,0.0,100.0,0.0,0.0,0.0,180822016.0,26251264.0,601911296.0,232980480.0,706.0,867.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:41,0.515,0.515,98.969,0.0,0.0,0.0,180817920.0,26251264.0,601915392.0,232980480.0,463.0,547.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:42,0.0,0.526,99.474,0.0,0.0,0.0,180850688.0,26251264.0,601915392.0,232947712.0,331.0,463.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:43,0.0,0.0,100.0,0.0,0.0,0.0,180850688.0,26251264.0,601915392.0,232947712.0,595.0,642.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:44,0.0,0.0,100.0,0.0,0.0,0.0,180850688.0,26251264.0,601915392.0,232947712.0,662.0,785.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:45,0.0,0.0,100.0,0.0,0.0,0.0,180850688.0,26255360.0,601911296.0,232947712.0,264.0,321.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:46,0.0,0.510,99.490,0.0,0.0,0.0,180846592.0,26255360.0,601915392.0,232947712.0,463.0,578.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:47,0.0,1.036,98.964,0.0,0.0,0.0,181227520.0,26255360.0,601915392.0,232566784.0,8458.0,10260.0,1.0,0.0,0.0,0.0,0.0
28-12 12:39:48,0.0,0.0,100.0,0.0,0.0,0.0,181227520.0,26255360.0,601915392.0,232566784.0,463.0,551.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:49,0.508,0.508,98.985,0.0,0.0,0.0,181227520.0,26255360.0,601915392.0,232566784.0,808.0,969.0,0.0,0.0,1.0,0.0,0.0
28-12 12:39:50,0.0,0.0,100.0,0.0,0.0,0.0,181260288.0,26263552.0,601907200.0,232534016.0,1023.0,1217.0,1.0,0.0,0.0,0.0,0.0
28-12 12:39:51,0.0,0.503,99.497,0.0,0.0,0.0,181252096.0,26263552.0,601915392.0,232534016.0,463.0,539.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:52,0.0,0.508,99.492,0.0,0.0,0.0,181284864.0,26263552.0,601915392.0,232501248.0,5552.0,7227.0,0.0,0.0,0.0,0.0,0.0
